"Tissue","group","cell_type","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","isTissuespecific","isCellTypespecific"
"85","Bladder","old vs mid","Basal cell","ZFAND2A",1.44e-19,1.780744362,0.461,0.1,2.45e-15,"UP",FALSE,FALSE
"86","Bladder","old vs mid","Basal cell","MS4A1",2.14e-19,1.771123308,0.406,0.06,3.64e-15,"UP",FALSE,TRUE
"87","Bladder","old vs mid","Basal cell","IFI30",2.14e-18,1.194322382,0.45,0.093,3.64e-14,"UP",FALSE,FALSE
"88","Bladder","old vs mid","Basal cell","CPVL",2.09e-16,-1.179153407,0.015,0.14,3.56e-12,"DOWN",FALSE,TRUE
"89","Bladder","old vs mid","Basal cell","LTB",7.92e-16,1.17464051,0.395,0.08,1.35e-11,"UP",FALSE,TRUE
"90","Bladder","old vs mid","Basal cell","AIF1",5.82e-14,-1.206298141,0.033,0.187,9.93e-10,"DOWN",FALSE,TRUE
"91","Bladder","old vs mid","Basal cell","LAPTM5",6.63e-13,1.49443342,0.517,0.233,1.13e-08,"UP",FALSE,FALSE
"92","Bladder","old vs mid","Basal cell","HLA-DPB1",1.66e-11,-1.434229346,0.606,0.413,2.83e-07,"DOWN",FALSE,TRUE
"93","Bladder","old vs mid","Basal cell","MT1E",5.85e-10,1.18926059,0.242,0.04,9.98e-06,"UP",FALSE,FALSE
"94","Bladder","old vs mid","Basal cell","CXCL1",8.78e-06,-1.189235662,0.125,0.14,0.149657434,"DOWN",FALSE,FALSE
"95","Bladder","old vs mid","Endothelial cell","HLA-DRB5",0,-3.396281581,0.169,0.76,0,"DOWN",FALSE,FALSE
"96","Bladder","old vs mid","Endothelial cell","ECSCR",7.76e-308,2.400592976,0.874,0,1.32e-303,"UP",FALSE,TRUE
"97","Bladder","old vs mid","Endothelial cell","MT-CO2",8.33e-145,-1.413618466,0.995,1,1.42e-140,"DOWN",FALSE,FALSE
"98","Bladder","old vs mid","Endothelial cell","S100P",4.33e-141,-2.696494551,0.361,0.572,7.38e-137,"DOWN",FALSE,FALSE
"99","Bladder","old vs mid","Endothelial cell","DNAJB1",1.61e-140,1.977675985,0.909,0.464,2.75e-136,"UP",FALSE,FALSE
"100","Bladder","old vs mid","Endothelial cell","HSPA1A",3.44e-119,2.052460421,0.906,0.466,5.87e-115,"UP",FALSE,FALSE
"101","Bladder","old vs mid","Endothelial cell","TNFRSF6B",3.77e-115,2.406501649,0.512,0,6.43e-111,"UP",FALSE,TRUE
"102","Bladder","old vs mid","Endothelial cell","FXYD3",2.79e-114,-1.689197561,0.181,0.348,4.76e-110,"DOWN",FALSE,FALSE
"103","Bladder","old vs mid","Endothelial cell","KRT13",5.05e-106,-2.353587505,0.14,0.394,8.62e-102,"DOWN",FALSE,FALSE
"104","Bladder","old vs mid","Endothelial cell","S100A11",2.43e-102,-1.259348987,0.906,0.966,4.15e-98,"DOWN",FALSE,FALSE
"105","Bladder","old vs mid","Endothelial cell","KRT17",1.85e-97,-2.078473721,0.357,0.487,3.16e-93,"DOWN",FALSE,FALSE
"106","Bladder","old vs mid","Endothelial cell","MIF",3.72e-97,0.906898956,0.932,0.822,6.34e-93,"UP",FALSE,FALSE
"107","Bladder","old vs mid","Endothelial cell","LY6D",2.53e-96,-2.100324151,0.147,0.312,4.32e-92,"DOWN",FALSE,FALSE
"108","Bladder","old vs mid","Endothelial cell","UQCRQ",1.07e-95,-1.014794766,0.79,0.861,1.82e-91,"DOWN",FALSE,FALSE
"109","Bladder","old vs mid","Endothelial cell","HSPA8",5.61e-94,1.225634371,0.936,0.763,9.56e-90,"UP",FALSE,FALSE
"110","Bladder","old vs mid","Endothelial cell","HLA-DQA2",3.43e-93,1.51313043,0.48,0.013,5.85e-89,"UP",FALSE,TRUE
"111","Bladder","old vs mid","Endothelial cell","SPINK1",1.74e-87,-3.571524606,0.076,0.317,2.97e-83,"DOWN",FALSE,FALSE
"112","Bladder","old vs mid","Endothelial cell","AGR2",5.86e-87,-1.504011475,0.076,0.338,9.99e-83,"DOWN",FALSE,FALSE
"113","Bladder","old vs mid","Endothelial cell","GPX2",4.21e-86,-1.464181257,0.119,0.304,7.18e-82,"DOWN",FALSE,FALSE
"114","Bladder","old vs mid","Endothelial cell","KRT8",2.03e-85,-1.180257428,0.187,0.379,3.46e-81,"DOWN",FALSE,FALSE
"115","Bladder","old vs mid","Endothelial cell","TACSTD2",1.09e-84,-1.527448639,0.299,0.51,1.86e-80,"DOWN",FALSE,FALSE
"116","Bladder","old vs mid","Endothelial cell","KRT7",1.7e-84,-1.52689732,0.134,0.34,2.9e-80,"DOWN",FALSE,FALSE
"117","Bladder","old vs mid","Endothelial cell","SFN",2.26e-82,-1.338976331,0.085,0.338,3.86e-78,"DOWN",FALSE,FALSE
"118","Bladder","old vs mid","Endothelial cell","SERTAD1",9.73e-81,1.225948669,0.872,0.513,1.66e-76,"UP",FALSE,FALSE
"119","Bladder","old vs mid","Endothelial cell","PHLDA2",4.89e-80,-1.327861084,0.386,0.451,8.34e-76,"DOWN",FALSE,FALSE
"120","Bladder","old vs mid","Endothelial cell","MGST1",3.68e-78,-1.191311046,0.074,0.286,6.27e-74,"DOWN",FALSE,FALSE
"121","Bladder","old vs mid","Endothelial cell","GPRC5A",4.45e-75,-1.042974395,0.234,0.392,7.59e-71,"DOWN",FALSE,FALSE
"122","Bladder","old vs mid","Endothelial cell","MT-ND1",6.69e-72,-0.766951845,0.991,0.995,1.14e-67,"DOWN",FALSE,FALSE
"123","Bladder","old vs mid","Endothelial cell","EGR1",9.91e-71,1.15793257,0.854,0.456,1.69e-66,"UP",FALSE,FALSE
